id,source,farm,photos_no,latitude,longitude,date_1,date_2,date_3,date_4
1,A,,1,41.825505,-85.978425,06/10/15,06/16/15,,
2,P,,1,41.561246,-86.028661,06/10/15,06/16/15,,
3,A,,1,41.414997,-86.064453,06/10/15,06/16/15,,
4,P,,1,41.205254,-86.240197,06/10/15,06/16/15,,
5,A,,1,40.846498,-86.292335,06/10/15,06/16/15,,
6,P,,1,40.857392,-86.500862,06/10/15,06/16/15,,
