id,source,farm,photos_no,latitude,longitude,date_1,date_2,date_3,date_4
1,A,,1,40.825505,-87.978425,06/10/15,06/16/15,,
2,A,,1,40.561246,-88.028661,06/10/15,06/16/15,,
3,A,,1,40.414997,-88.064453,06/10/15,06/16/15,,
4,A,,1,40.205254,-88.240197,06/10/15,06/16/15,,
5,A,,1,39.846498,-88.292335,06/10/15,06/16/15,,
6,A,,1,39.857392,-88.500862,06/10/15,06/16/15,,
