id,source,farm,photos_no,latitude,longitude,date_1,date_2,date_3,date_4
1,A,Farm 1,3,40.928199,-87.867406,03/19/15,06/26/15,07/26/15,08/26/15
2,A,Farm 2,3,40.60932,-88.061843,04/14/15,06/25/15,07/26/15,08/26/15
3,A,Farm 3,4,40.310633,-88.231411,04/11/15,06/24/15,07/26/15,08/26/15
4,A,Farm 4,3,40.017931,-88.331318,03/20/15,06/23/15,07/26/15,08/26/15
5,P,Farm 5,4,39.835404,-88.53597,05/19/15,06/22/15,07/26/15,08/26/15
